iter	RMSE
835	0.8849255635
836	0.884894614
837	0.8848693421
838	0.8848443594
839	0.8848312468
840	0.884820307
841	0.8847949088
842	0.88476328
843	0.8847366616
844	0.8846871482
845	0.8846769019
846	0.8846698848
847	0.8846283451
848	0.8845862806
849	0.8845568167
850	0.8845390519
851	0.8845191903
852	0.8844854095
853	0.8844491913
854	0.884430113
855	0.884397478
856	0.8843612739
857	0.8843360487
858	0.8843103944
859	0.8842775656
860	0.8842486739
861	0.8842015126
862	0.8841850515
863	0.8841712021
864	0.8841651677
865	0.8841345311
866	0.8841231523
867	0.8841012364
868	0.8840718436
869	0.8840608195
870	0.8840515324
871	0.8840031908
872	0.8839980718
873	0.8839758772
874	0.8839572588
875	0.8839411715
876	0.8838935003
877	0.8838726691
878	0.8838548407
879	0.8838235764
880	0.883807983
881	0.8838001581
882	0.883732135
883	0.8837185375
884	0.8835713254
885	0.8835617677
886	0.8835437824
887	0.8834766795
888	0.8834460549
889	0.8833814917
890	0.88334881
891	0.8833072351
892	0.8832771986
893	0.8832675048
894	0.883244028
895	0.8832298354
896	0.8831667761
897	0.8831522533
898	0.8831368437
899	0.8831167152
900	0.8830916201
901	0.8830735838
902	0.8830637879
903	0.8830306668
904	0.8830090885
905	0.8829376417
906	0.8829278213
907	0.8829056971
908	0.8828745234
909	0.8828572687
910	0.8828351261
911	0.8828144604
912	0.882776525
913	0.8827578689
914	0.8827221951
915	0.8827004819
916	0.8826788791
917	0.882655076
918	0.882589064
919	0.8825732615
920	0.8825532136
921	0.8825464529
922	0.8825215709
923	0.8825159464
924	0.8824901165
925	0.8824679199
926	0.8824453433
927	0.8824180482
928	0.8824006903
929	0.8823896823
930	0.8823687375
931	0.8823478414
932	0.8823195781
933	0.8823036112
934	0.8822855184
935	0.8822414919
936	0.8821732424
937	0.8821195699
938	0.8820984252
939	0.8820580506
940	0.882037089
941	0.8820213465
942	0.8819928509
943	0.8819859697
944	0.8819367169
945	0.8819174936
946	0.8818477265
947	0.8818454529
948	0.8818317814
949	0.881790594
950	0.8817505469
951	0.8817402484
952	0.8817012722
953	0.8816656281
954	0.8816323228
955	0.881608037
956	0.8815519135
957	0.8815222641
958	0.8814576334
959	0.8814246344
960	0.8814112544
961	0.8813959324
962	0.8813563845
963	0.8812641295
964	0.881249319
965	0.8812163469
966	0.8811935692
967	0.8811581177
968	0.8811422072
969	0.8811087654
970	0.8810727059
971	0.8810420018
972	0.8809987506
973	0.8809662663
974	0.8809450568
975	0.880938567
976	0.8809066206
977	0.8808925028
978	0.8808831331
979	0.880871825
980	0.8808622844
981	0.8808544273
982	0.8808148259
983	0.8807627511
984	0.8807182439
985	0.8806898528
986	0.8806531955
987	0.8806180915
988	0.8805661674
989	0.8805239765
990	0.8805091697
991	0.8804854439
992	0.8804624146
993	0.8804451211
994	0.8804342846
995	0.8803634902
996	0.8803545031
997	0.8803141435
998	0.8802790101
999	0.8802741706
